gen,time,Terre,x_1,y_1,z_1,vx_1,vy_1,vz_1,ax_1,ay_1,az_1,Soleil,x_2,y_2,z_2,vx_2,vy_2,vz_2,ax_2,ay_2,az_2,Body3,x_3,y_3,z_3,vx_3,vy_3,vz_3,ax_3,ay_3,az_3
40,303750.0,,-4.933076913520898e+17,1.651471816359889e+20,0.0,-90.09033236695014,29783.0,0.0,1.1040760617370832e-19,-3.6961617582266543e-17,0.0,,1481337154489.0747,0.0006875076153172479,0.0,0.0002705291615443131,1.415061302127528e-19,0.0,-3.315392045023175e-25,1.109907706092595e-22,0.0,,-7.151396533738578e+17,1.7081418696224804e+20,0.0,-130.60238906626958,30805.0,0.0,1.483277008397312e-19,-3.464338899232209e-17,0.0
42,318937.5,,-5.1828530355208864e+17,1.7340454071778833e+20,0.0,-90.09033236695014,29783.0,0.0,1.002033167365854e-19,-3.352527617750502e-17,0.0,,1556341567374.5977,0.0007267864544339956,0.0,0.0002705291615443131,1.4172811175397134e-19,0.0,-3.0089709459937896e-25,1.0067189915451078e-22,0.0,,-7.513492636703713e+17,1.7935489631036044e+20,0.0,-130.60238906626958,30805.0,0.0,1.3461868065018334e-19,-3.142257382008101e-17,0.0
44,334125.0,,-5.432629157520875e+17,1.8166189979958775e+20,0.0,-90.09033236695014,29783.0,0.0,9.135095634680266e-20,-3.0546790448804524e-17,0.0,,1631345980260.1206,0.0007661225467272196,0.0,0.0002705291615443131,1.4192945555228038e-19,0.0,-2.7431464595015445e-25,9.172790676723617e-23,0.0,,-7.875588739668849e+17,1.8789560565847284e+20,0.0,-130.60238906626958,30805.0,0.0,1.227259199925935e-19,-2.8630897854126145e-17,0.0
46,349312.5,,-5.6824052795208634e+17,1.8991925888138717e+20,0.0,-90.09033236695014,29783.0,0.0,8.362185008979824e-20,-2.794829183163312e-17,0.0,,1706350393145.6436,0.0008055107421466023,0.0,0.0002705291615443131,1.4211291136581486e-19,0.0,-2.511051785160952e-25,8.392496461230939e-23,0.0,,-8.237684842633984e+17,1.9643631500658524e+20,0.0,-130.60238906626958,30805.0,0.0,1.1234220354102788e-19,-2.619537639091673e-17,0.0
48,364500.0,,-5.932181401520852e+17,1.981766179631866e+20,0.0,-90.09033236695014,29783.0,0.0,7.683370347841781e-20,-2.5667788536603086e-17,0.0,,1781354806031.1665,0.0008449465557705008,0.0,0.0002705291615443131,1.4228076129503947e-19,0.0,-2.307212864494442e-25,7.707691967680369e-23,0.0,,-8.59978094559912e+17,2.0497702435469764e+20,0.0,-130.60238906626958,30805.0,0.0,1.0322262621029207e-19,-2.4057905724905472e-17,0.0
50,379687.5,,-6.181957523520842e+17,2.06433977044986e+20,0.0,-90.09033236695014,29783.0,0.0,7.083975575758174e-20,-2.3655433647531768e-17,0.0,,1856359218916.6895,0.0008844260579747437,0.0,0.0002705291615443131,1.4243491513439306e-19,0.0,-2.1272226692475777e-25,7.103408836996997e-23,0.0,,-8.961877048564255e+17,2.1351773370281004e+20,0.0,-130.60238906626958,30805.0,0.0,9.517002104587946e-20,-2.2171765307502835e-17,0.0
52,394875.0,,-6.431733645520832e+17,2.1469133612678542e+20,0.0,-90.09033236695014,29783.0,0.0,6.552078120870353e-20,-2.1870777921810468e-17,0.0,,1931363631802.2124,0.0009239457863772683,0.0,0.0002705291615443131,1.42576983311133e-19,0.0,-1.9675010113095685e-25,6.567500705191993e-23,0.0,,-9.32397315152939e+17,2.2205844305092244e+20,0.0,-130.60238906626958,30805.0,0.0,8.802421329265849e-20,-2.0499042849037396e-17,0.0
54,410062.5,,-6.681509767520822e+17,2.2294869520858484e+20,0.0,-90.09033236695014,29783.0,0.0,6.077911483631268e-20,-2.0280721168691382e-17,0.0,,2006368044687.7354,0.0009635026745743486,0.0,0.0002705291615443131,1.427083333252368e-19,0.0,-1.8251151421109827e-25,6.090028029792048e-23,0.0,,-9.686069254494525e+17,2.3059915239903484e+20,0.0,-130.60238906626958,30805.0,0.0,8.165399414287277e-20,-1.9008714184644184e-17,0.0
56,425250.0,,-6.931285889520812e+17,2.3120605429038426e+20,0.0,-90.09033236695014,29783.0,0.0,5.653413739570472e-20,-1.8857966325240243e-17,0.0,,2081372457573.2583,0.0010030939939664686,0.0,0.0002705291615443131,1.4283013388583264e-19,0.0,-1.6976441740714108e-25,5.662793869622441e-23,0.0,,-1.0048165357459661e+18,2.3913986174714724e+20,0.0,-130.60238906626958,30805.0,0.0,7.595105505195635e-20,-1.767519430917882e-17,0.0
58,440437.5,,-7.181062011520801e+17,2.3946341337218367e+20,0.0,-90.09033236695014,29783.0,0.0,5.2718826146519814e-20,-1.757984004177449e-17,0.0,,2156376870458.7812,0.0010427173058904732,0.0,0.0002705291615443131,1.429433897632251e-19,0.0,-1.5830755043646014e-25,5.278989722463378e-23,0.0,,-1.0410261460424796e+18,2.4768057109525964e+20,0.0,-130.60238906626958,30805.0,0.0,7.0825353815278e-20,-1.6477231934528286e-17,0.0
60,455625.0,,-7.430838133520791e+17,2.477207724539831e+20,0.0,-90.09033236695014,29783.0,0.0,4.927709324648389e-20,-1.6427383732776328e-17,0.0,,2231381283344.304,0.0010823704219415922,0.0,0.0002705291615443131,1.4304896955767438e-19,0.0,-1.4797248904592443e-25,4.932922579853855e-23,0.0,,-1.0772357563389932e+18,2.5622128044337204e+20,0.0,-130.60238906626958,30805.0,0.0,6.620153880827996e-20,-1.5397057549072764e-17,0.0
62,470812.5,,-7.680614255520781e+17,2.559781315357825e+20,0.0,-90.09033236695014,29783.0,0.0,4.616171274593654e-20,-1.5384646463366233e-17,0.0,,2306385696229.8267,0.001122051370859266,0.0,0.0002705291615443131,1.4314762800927147e-19,0.0,-1.3861742005503945e-25,4.619802590402017e-23,0.0,,-1.1134453666355067e+18,2.6476198979148444e+20,0.0,-130.60238906626958,30805.0,0.0,6.201616398832736e-20,-1.4419720653774127e-17,0.0
64,486000.0,,-7.93039037752077e+17,2.6423549061758193e+20,0.0,-90.09033236695014,29783.0,0.0,4.3332691991139325e-20,-1.4438130029128228e-17,0.0,,2381390109115.349,0.0011617583707153433,0.0,0.0002705291615443131,1.4324002406107953e-19,0.0,-1.3012225089893678e-25,4.335576424713836e-23,0.0,,-1.1496549769320202e+18,2.7330269913959685e+20,0.0,-130.60238906626958,30805.0,0.0,5.821550094193934e-20,-1.3532569646187486e-17,0.0
